,0
533,2
534,2
535,0
536,2
537,1
538,0
539,0
540,1
541,2
542,1
543,2
544,1
545,1
546,0
547,0
548,0
549,1
550,2
551,0
552,2
553,0
554,2
555,2
556,1
557,2
558,0
559,0
560,2
561,0
562,0
563,0
564,0
565,0
566,2
567,2
568,2
569,1
570,0
571,0
572,2
573,2
574,1
575,1
576,2
577,0
578,2
579,2
580,0
581,2
582,2
583,2
584,0
585,1
586,0
587,0
588,2
589,0
590,2
591,2
592,1
593,2
594,0
595,2
596,2
597,0
598,0
599,2
600,0
601,2
602,0
603,2
604,1
605,2
606,1
607,2
608,1
609,1
610,2
611,2
612,1
613,1
614,0
615,2
616,1
617,0
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,1
633,2
634,1
635,0
636,0
637,0
638,2
639,1
640,0
641,0
642,2
643,0
644,2
645,2
646,2
647,0
648,2
649,2
650,0
651,0
652,0
653,1
654,1
655,0
656,2
657,1
658,1
659,2
660,1
661,1
662,1
663,0
664,2
665,1
666,1
667,1
668,1
669,1
670,0
671,0
672,0
673,2
674,0
675,0
676,2
677,2
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,2
687,0
688,1
689,2
690,2
691,0
692,2
693,0
694,0
695,1
696,1
697,2
698,0
699,0
700,1
701,0
702,2
703,1
704,2
705,0
706,1
707,1
708,0
709,1
710,2
711,0
712,1
713,0
714,1
715,1
716,1
717,1
718,2
719,0
720,1
721,2
722,0
723,2
724,1
725,1
726,2
727,1
728,2
729,1
730,1
731,0
732,0
733,1
734,1
735,1
736,0
737,0
738,0
739,2
740,2
741,1
742,1
743,2
744,1
745,0
746,1
747,1
748,0
749,0
750,1
751,1
752,0
753,2
754,2
755,0
756,0
757,1
758,0
759,1
760,1
761,2
762,2
763,2
764,2
765,2
766,2
767,0
768,0
769,0
770,0
771,1
772,2
773,0
774,0
775,0
776,1
777,0
778,1
779,2
780,0
781,0
782,2
783,1
784,0
785,0
786,0
787,0
788,0
789,1
790,2
791,2
792,1
793,0
794,1
795,1
796,2
797,2
798,1
799,2
800,1
801,2
802,0
803,2
804,1
805,1
806,1
807,2
808,1
809,2
810,0
811,0
812,0
813,2
814,2
815,1
816,0
817,1
818,0
819,0
820,2
821,0
822,2
823,2
824,1
825,1
826,0
827,0
828,0
829,2
830,0
831,1
832,1
833,2
834,0
835,0
836,2
837,0
838,2
839,1
840,2
841,0
842,2
843,2
844,0
845,0
846,0
847,2
848,0
849,2
850,1
851,0
852,2
853,0
854,0
855,1
856,0
857,0
858,1
859,2
860,2
861,2
862,2
863,0
864,1
865,1
866,0
867,0
868,0
869,1
870,2
871,0
872,1
873,2
874,0
875,0
876,1
877,1
878,2
879,2
880,1
881,0
882,1
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,1
892,0
893,2
894,1
895,0
896,1
897,1
898,0
899,1
900,0
901,1
902,0
903,2
904,1
905,2
906,1
907,1
908,1
909,1
910,1
911,0
912,1
913,2
914,1
915,2
916,1
917,1
918,0
919,0
920,1
921,0
922,1
923,1
924,2
925,0
926,0
927,1
928,0
929,1
930,2
931,0
932,0
933,0
934,0
935,2
936,0
937,0
938,0
939,0
940,1
941,0
942,0
943,0
944,0
945,0
946,1
947,2
948,2
949,0
950,1
951,0
952,2
953,0
954,1
955,1
956,1
957,0
958,2
959,0
960,0
961,2
962,2
963,1
964,1
965,1
966,1
967,1
968,1
969,2
970,1
971,2
972,0
973,1
974,1
975,2
976,1
977,2
978,0
979,0
980,1
981,1
982,0
983,2
984,2
985,2
986,1
987,1
988,2
989,2
990,1
991,0
992,2
993,2
994,2
995,0
996,1
997,0
998,2
999,2
1000,2
1001,2
1002,1
1003,2
1004,2
1005,0
1006,2
1007,2
1008,2
1009,1
1010,1
1011,1
1012,1
1013,2
1014,1
1015,2
1016,2
1017,0
1018,2
1019,0
1020,0
1021,2
1022,2
1023,1
1024,2
1025,2
1026,2
1027,1
1028,2
1029,0
1030,1
1031,2
1032,1
1033,2
1034,2
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,1
1042,0
1043,2
1044,1
1045,2
1046,1
1047,1
1048,2
1049,1
1050,2
1051,1
1052,0
1053,2
1054,0
1055,1
1056,1
1057,2
1058,0
1059,0
1060,1
1061,2
1062,1
1063,0
1064,1
1065,0
1066,2
1067,1
1068,0
1069,1
1070,1
1071,2
1072,1
1073,2
1074,0
1075,0
1076,1
1077,1
1078,2
1079,0
1080,1
1081,0
1082,2
1083,0
1084,2
1085,1
1086,0
1087,2
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,2
1095,1
1096,2
1097,2
1098,2
1099,0
1100,1
1101,2
1102,0
1103,0
1104,0
1105,2
1106,1
1107,0
1108,2
1109,1
1110,1
1111,2
1112,0
1113,1
1114,1
1115,0
1116,2
1117,1
1118,2
1119,0
1120,0
1121,2
1122,2
1123,2
1124,0
1125,2
1126,0
1127,0
1128,0
1129,2
1130,0
1131,1
1132,2
1133,1
1134,0
1135,2
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,0
1147,2
1148,1
1149,1
1150,2
1151,2
1152,1
1153,1
1154,2
1155,0
1156,2
1157,0
1158,2
1159,1
1160,0
1161,0
1162,0
1163,2
1164,2
1165,2
1166,0
1167,0
1168,2
1169,0
1170,1
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,0
1180,0
1181,0
1182,0
1183,2
1184,1
1185,0
1186,1
1187,2
1188,0
1189,2
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,2
1198,1
1199,2
1200,2
1201,2
1202,1
1203,0
1204,2
1205,1
1206,0
1207,2
1208,0
1209,2
1210,0
1211,2
1212,0
1213,2
1214,2
1215,1
1216,0
1217,1
1218,2
1219,0
1220,2
1221,0
1222,1
1223,1
1224,2
1225,2
1226,2
1227,0
1228,2
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,0
1236,0
1237,1
1238,2
1239,1
1240,2
1241,1
1242,1
1243,2
1244,0
1245,1
1246,0
1247,2
1248,0
1249,1
1250,0
1251,1
1252,2
1253,0
1254,2
1255,1
1256,2
1257,0
1258,1
1259,0
1260,1
1261,0
1262,2
1263,0
1264,2
1265,2
1266,0
1267,0
1268,1
1269,0
1270,2
1271,2
1272,0
1273,0
1274,0
1275,0
1276,2
1277,0
1278,1
1279,2
1280,1
1281,2
1282,0
1283,1
1284,0
1285,0
1286,1
1287,1
1288,0
1289,1
1290,1
1291,0
1292,1
1293,0
1294,2
1295,0
1296,0
1297,0
1298,2
1299,1
1300,0
1301,1
1302,2
1303,2
1304,1
1305,2
1306,0
1307,2
1308,1
1309,2
1310,0
1311,1
1312,1
1313,1
1314,0
1315,1
1316,2
1317,0
1318,2
1319,0
1320,0
1321,0
1322,2
1323,2
1324,2
1325,2
1326,0
1327,0
1328,1
1329,1
1330,1
1331,2
1332,1
1333,1
1334,1
1335,2
1336,0
1337,1
1338,2
1339,0
1340,2
1341,0
1342,0
1343,0
1344,1
1345,0
1346,2
1347,0
1348,1
1349,0
1350,0
1351,2
1352,0
1353,0
1354,0
1355,0
1356,2
1357,0
1358,0
1359,0
1360,2
1361,1
1362,2
1363,0
1364,1
1365,0
1366,2
1367,2
1368,0
1369,2
1370,1
1371,0
1372,2
1373,1
1374,0
1375,0
1376,1
1377,2
1378,2
1379,0
1380,2
1381,0
1382,1
1383,0
1384,2
1385,1
1386,1
1387,0
1388,1
1389,2
1390,0
1391,2
1392,0
1393,2
1394,2
1395,2
1396,1
1397,1
1398,0
1399,2
1400,2
1401,2
1402,0
1403,2
1404,2
1405,2
1406,2
1407,1
1408,2
1409,1
1410,2
1411,0
1412,2
1413,0
1414,0
1415,2
1416,2
1417,2
1418,1
1419,1
1420,0
1421,1
1422,0
1423,1
1424,1
1425,0
1426,1
1427,1
1428,0
1429,2
1430,1
1431,0
1432,2
1433,1
1434,2
1435,1
1436,0
1437,0
1438,2
1439,2
1440,0
1441,0
1442,1
1443,0
1444,1
1445,2
1446,2
1447,2
1448,1
1449,1
1450,0
1451,1
1452,0
1453,0
1454,0
1455,0
1456,0
1457,2
1458,2
1459,1
1460,1
1461,1
1462,1
1463,1
1464,0
1465,0
1466,0
1467,1
1468,0
1469,2
1470,1
1471,2
1472,0
1473,1
1474,1
1475,0
1476,2
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,1
1484,0
1485,1
1486,0
1487,1
1488,1
1489,2
1490,0
1491,0
1492,2
1493,2
1494,2
1495,1
1496,1
1497,2
1498,2
1499,2
1500,0
1501,1
1502,2
1503,1
1504,2
1505,0
1506,0
1507,1
1508,0
1509,2
1510,2
1511,2
1512,1
1513,1
1514,0
1515,2
1516,1
1517,1
1518,0
1519,0
1520,0
1521,2
1522,2
1523,1
1524,2
1525,0
1526,1
1527,1
1528,1
1529,1
1530,2
1531,0
1532,2
1533,2
1534,1
1535,0
1536,0
1537,2
1538,1
1539,0
1540,0
1541,1
1542,1
1543,0
1544,1
1545,1
1546,2
1547,1
1548,2
1549,0
1550,2
1551,0
1552,1
1553,2
1554,0
1555,2
1556,1
1557,1
1558,0
1559,1
1560,2
1561,0
1562,0
1563,2
1564,1
1565,2
1566,1
1567,2
1568,0
1569,0
1570,0
1571,2
1572,2
1573,1
1574,2
1575,0
1576,1
1577,1
1578,0
1579,2
1580,0
1581,1
1582,0
1583,0
1584,1
1585,1
1586,2
1587,1
1588,2
1589,2
1590,0
1591,2
1592,0
1593,1
1594,0
1595,0
1596,2
1597,1
1598,0
1599,0
1600,0
1601,0
1602,0
1603,2
1604,2
1605,1
1606,0
1607,0
1608,2
1609,0
1610,0
1611,0
1612,1
1613,0
1614,2
1615,2
1616,1
1617,0
1618,2
1619,1
1620,2
1621,0
1622,0
1623,0
1624,0
1625,2
1626,1
1627,2
1628,2
1629,2
1630,2
1631,0
1632,0
1633,1
1634,0
1635,2
1636,1
1637,0
1638,2
1639,0
1640,0
1641,2
1642,1
1643,1
1644,2
1645,1
1646,1
1647,1
1648,1
1649,2
1650,2
1651,2
1652,0
1653,2
1654,1
1655,2
1656,2
1657,2
1658,0
1659,0
1660,1
1661,0
1662,0
1663,1
1664,0
1665,0
1666,2
1667,2
1668,2
1669,0
1670,0
1671,1
1672,0
1673,1
1674,0
1675,2
1676,2
1677,0
1678,2
1679,2
1680,0
1681,0
1682,1
1683,0
1684,1
1685,1
1686,0
1687,1
1688,2
1689,2
1690,0
1691,2
1692,0
1693,0
1694,2
1695,1
1696,1
1697,1
1698,2
1699,2
1700,0
1701,2
1702,1
1703,1
1704,0
1705,2
1706,2
1707,1
1708,1
1709,1
1710,1
1711,1
1712,0
1713,0
1714,0
1715,2
1716,0
1717,1
1718,0
1719,1
1720,2
1721,1
1722,1
1723,1
1724,0
1725,0
1726,2
1727,0
1728,2
1729,2
1730,0
1731,0
1732,2
1733,1
1734,0
1735,2
1736,0
1737,1
1738,2
1739,1
1740,2
1741,1
1742,2
1743,0
1744,2
1745,0
1746,1
1747,1
1748,0
1749,0
1750,2
1751,2
1752,2
1753,1
1754,2
1755,0
1756,1
1757,1
1758,2
1759,0
1760,0
1761,2
1762,0
1763,1
1764,2
1765,0
1766,1
1767,2
1768,2
1769,2
1770,0
1771,2
1772,0
1773,1
1774,1
1775,1
1776,0
1777,2
1778,0
1779,0
1780,2
1781,2
1782,1
1783,0
1784,2
1785,0
1786,1
1787,0
1788,1
1789,2
1790,0
1791,1
1792,0
1793,2
1794,0
1795,0
1796,2
1797,1
1798,0
1799,2
1800,0
1801,1
1802,1
1803,2
1804,2
1805,0
1806,0
1807,0
1808,0
1809,0
1810,1
1811,0
1812,0
1813,0
1814,2
1815,1
1816,2
1817,1
1818,1
1819,1
1820,2
1821,2
1822,0
1823,2
1824,1
1825,2
1826,1
1827,1
1828,1
1829,1
1830,0
1831,2
1832,1
1833,0
1834,1
1835,2
1836,0
1837,1
1838,1
1839,0
1840,2
1841,2
1842,2
1843,1
1844,2
1845,1
1846,0
1847,0
1848,0
1849,2
1850,2
1851,1
1852,1
1853,1
1854,1
1855,2
1856,0
1857,0
1858,2
1859,0
1860,0
1861,1
1862,1
1863,0
1864,1
1865,1
1866,2
1867,0
1868,1
1869,0
1870,2
1871,1
1872,1
1873,0
1874,0
1875,2
1876,1
1877,2
1878,0
1879,0
1880,0
1881,2
1882,2
1883,2
1884,1
1885,1
1886,1
1887,1
1888,0
1889,0
1890,2
1891,2
1892,2
1893,2
1894,2
1895,1
1896,1
1897,1
1898,1
1899,2
1900,0
1901,1
1902,1
1903,0
1904,0
1905,1
1906,2
1907,2
1908,1
1909,2
1910,0
1911,0
1912,2
1913,2
1914,1
1915,2
1916,2
1917,1
1918,2
1919,1
1920,0
1921,1
1922,2
1923,0
1924,0
1925,0
1926,1
1927,1
1928,0
1929,1
1930,2
1931,0
1932,1
1933,0
1934,1
1935,1
1936,0
1937,0
1938,0
1939,1
1940,1
1941,1
1942,1
1943,1
1944,0
1945,2
1946,2
1947,0
1948,0
1949,2
1950,2
1951,2
1952,2
1953,2
1954,2
1955,2
1956,1
1957,0
1958,0
1959,2
1960,0
1961,0
1962,2
1963,0
1964,1
1965,0
1966,1
1967,1
1968,2
1969,1
1970,1
1971,0
1972,2
1973,1
1974,2
1975,2
1976,2
1977,2
1978,0
1979,2
1980,1
1981,0
1982,1
1983,1
1984,1
1985,2
1986,1
1987,2
1988,1
1989,2
1990,2
1991,2
1992,2
1993,2
1994,2
1995,0
1996,0
1997,1
1998,1
1999,2
2000,2
2001,2
2002,0
2003,2
2004,1
2005,1
2006,2
2007,0
2008,0
2009,0
2010,1
2011,0
2012,2
2013,0
2014,0
2015,1
2016,2
2017,0
2018,2
2019,0
2020,0
2021,1
2022,1
2023,1
2024,2
2025,0
2026,1
2027,2
2028,0
2029,2
2030,1
2031,1
2032,0
2033,2
2034,1
2035,0
2036,1
2037,1
2038,0
2039,1
2040,2
2041,2
2042,0
2043,1
2044,2
2045,0
2046,1
2047,1
2048,2
2049,2
2050,2
2051,0
2052,1
2053,0
2054,1
2055,1
2056,2
2057,2
2058,0
2059,2
2060,1
2061,1
2062,0
2063,0
2064,1
2065,0
2066,1
2067,1
2068,0
2069,1
2070,2
2071,1
2072,2
2073,2
2074,0
2075,1
2076,0
2077,1
2078,0
2079,0
2080,2
2081,0
2082,0
2083,1
2084,2
2085,1
2086,1
2087,2
2088,2
2089,2
2090,0
2091,0
2092,0
2093,1
2094,0
2095,1
2096,1
2097,2
2098,2
2099,1
2100,2
2101,1
2102,0
2103,0
2104,2
2105,0
2106,2
2107,2
2108,2
2109,2
2110,2
2111,1
2112,1
2113,2
2114,0
2115,1
2116,0
2117,0
2118,1
2119,2
2120,0
2121,2
2122,2
2123,0
2124,2
2125,0
2126,0
2127,0
2128,0
2129,0
2130,1
2131,2
2132,2
2133,1
2134,1
2135,1
2136,0
2137,1
2138,1
2139,0
2140,1
2141,1
2142,1
2143,1
2144,0
2145,0
2146,2
2147,2
2148,0
2149,0
2150,2
2151,0
2152,1
2153,1
2154,1
2155,1
2156,2
2157,1
2158,0
2159,2
2160,1
2161,1
2162,2
2163,0
2164,0
2165,0
2166,2
2167,2
2168,0
2169,0
2170,1
2171,2
2172,2
2173,0
2174,2
2175,2
2176,0
2177,0
2178,1
2179,2
2180,1
2181,2
2182,2
2183,2
2184,1
2185,2
2186,0
2187,0
2188,1
2189,2
2190,2
2191,0
2192,0
2193,1
2194,0
2195,2
2196,2
2197,0
2198,2
2199,2
2200,0
2201,1
2202,0
2203,1
2204,0
